"Date","2020 AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (1980-2019)","20-year Low (1980-2019)","5-year Median (2015-2019)"
"03/28/2020","50","Ozone","Alpine","06-073-1006","AirNow","90","41","62"
"03/29/2020","47","PM2.5","San Diego - Sherman Elementary School","06-073-1026","AirNow","96","44","74"
"03/30/2020","44","Ozone","Alpine","06-073-1006","AirNow","102","44","71"
"03/31/2020","60","PM2.5","Donovan","06-073-1014","AirNow","108","38","67"
"04/01/2020","67","PM2.5","Donovan","06-073-1014","AirNow","105","42","64"
"04/02/2020","45","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","122","44","64"
"04/03/2020","51","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","101","39","74"
"04/04/2020","43","Ozone","Alpine","06-073-1006","AirNow","147","41","77"
"04/05/2020","39","Ozone","Alpine","06-073-1006","AirNow","101","36","71"
"04/06/2020","35","Ozone","Camp Pendleton","06-073-1008","AirNow","136","36","61"
"04/07/2020","38","Ozone","Camp Pendleton","06-073-1008","AirNow","101","44","62"
"04/08/2020","41","Ozone","Camp Pendleton","06-073-1008","AirNow","154","43","58"
"04/09/2020","41","Ozone","San Diego - Sherman Elementary School","06-073-1026","AirNow","119","40","71"
"04/10/2020","41","Ozone","San Diego - Sherman Elementary School","06-073-1026","AirNow","112","44","80"
"04/11/2020","44","Ozone","Donovan","06-073-1014","AirNow","108","45","64"
"04/12/2020","40","Ozone","San Diego - Sherman Elementary School","06-073-1026","AirNow","108","41","67"
"04/13/2020","38","Ozone","San Diego - Sherman Elementary School","06-073-1026","AirNow","100","31","71"
"04/14/2020","46","Ozone","San Diego - Sherman Elementary School","06-073-1026","AirNow","115","40","87"
"04/15/2020","61","Ozone","El Cajon - Lexington Elementary School","06-073-1022","AirNow","140","44","100"
"04/16/2020","67","Ozone","Alpine","06-073-1006","AirNow","169","44","72"
"04/17/2020","44","PM2.5","Donovan","06-073-1014","AirNow","122","42","64"
"04/18/2020","37","Ozone","Camp Pendleton","06-073-1008","AirNow","133","31","90"
"04/19/2020","39","Ozone","Camp Pendleton","06-073-1008","AirNow","119","44","87"
"04/20/2020","38","Ozone","Donovan","06-073-1014","AirNow","147","37","93"
"04/21/2020","40","Ozone","Donovan","06-073-1014","AirNow","143","39","84"
"04/22/2020","64","Ozone","Alpine","06-073-1006","AirNow","161","43","71"
"04/23/2020","90","Ozone","Alpine","06-073-1006","AirNow","108","44","77"
