"Date","2020 AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (1980-2019)","20-year Low (1980-2019)","5-year Median (2015-2019)"
"03/19/2020","59","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","62","17","48"
"03/20/2020","30","Ozone","Austin Audubon Society","48-453-0020","AirNow","84","24","40"
"03/21/2020","26","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","74","19","47"
"03/22/2020","35","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","90","31","46"
"03/23/2020","58","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","80","30","44"
"03/24/2020","47","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","55","26","42"
"03/25/2020","54","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","112","26","47"
"03/26/2020","65","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","77","29","54"
"03/27/2020","57","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","64","31","52"
"03/28/2020","52","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","63","31","50"
"03/29/2020","53","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","72","37","45"
"03/30/2020","46","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","56","35","43"
"03/31/2020","37","Ozone","Austin Audubon Society","48-453-0020","AirNow","90","36","51"
"04/01/2020","48","Ozone","Austin Audubon Society","48-453-0020","AirNow","81","33","42"
"04/02/2020","34","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","74","35","50"
"04/03/2020","32","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","85","19","50"
"04/04/2020","30","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","77","32","44"
"04/05/2020","50","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","87","36","45"
"04/06/2020","57","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","87","31","55"
"04/07/2020","54","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","93","30","51"
"04/08/2020","69","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","84","35","54"
"04/09/2020","62","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","100","27","59"
"04/10/2020","45","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","101","32","52"
"04/11/2020","53","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","74","31","51"
"04/12/2020","52","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","93","32","45"
"04/13/2020","39","Ozone","Austin Audubon Society","48-453-0020","AirNow","115","26","35"
"04/14/2020","36","Ozone","Austin Audubon Society","48-453-0020","AirNow","87","36","39"
"04/15/2020","44","Ozone","Austin Audubon Society","48-453-0020","AirNow","108","32","47"
"04/16/2020","49","Ozone","Austin Audubon Society","48-453-0020","AirNow","90","28","43"
"04/17/2020","45","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","80","31","37"
"04/18/2020","46","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","84","27","37"
"04/19/2020","49","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","105","26","48"
"04/20/2020","52","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","84","33","53"
"04/21/2020","63","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","77","35","46"
"04/22/2020","69","PM2.5","Austin Webberville Rd","48-453-0021","AirNow","115","31","41"
"04/23/2020","52","PM2.5","Austin North Interstate 35","48-453-1068","AirNow","97","26","50"
