report_id,date_time,injured,killed
20202196,4/10/20 16:12,0,0
20202195,4/10/20 15:56,2,0
20202191,4/10/20 7:53,1,2
20202190,4/10/20 7:18,1,0
20019887,4/10/20 4:13,0,0
20202194,4/10/20 2:36,0,0
20019877,4/10/20 0:57,0,0
20019866,4/9/20 22:00,0,0
20202189,4/9/20 21:13,0,0
20202186,4/9/20 16:55,0,0
20202188,4/9/20 16:07,2,0
20202185,4/9/20 15:14,0,0
20202184,4/9/20 14:56,1,0
20202182,4/9/20 14:36,0,0
20202183,4/9/20 14:30,1,0
20202192,4/9/20 13:45,0,0
20019739,4/9/20 1:50,1,0
20202181,4/9/20 0:01,0,0
20202179,4/8/20 22:10,1,0
20202178,4/8/20 21:22,1,0
20202177,4/8/20 19:15,1,0
20202172,4/8/20 15:15,1,0
20202175,4/8/20 15:00,0,0
20202171,4/8/20 13:50,0,0
20202170,4/8/20 13:33,1,0
20202173,4/8/20 12:30,0,0
20202169,4/8/20 12:00,0,0
20202180,4/8/20 11:15,0,0
20019571,4/8/20 0:30,0,0
20202243,4/8/20 0:00,0,0
20021111,4/7/20 23:12,1,0
20019582,4/7/20 22:09,1,0
20202168,4/7/20 21:30,0,0
20202166,4/7/20 21:15,1,0
20019550,4/7/20 21:02,3,0
20019543,4/7/20 19:42,1,0
20202167,4/7/20 18:53,0,0
20202164,4/7/20 16:47,0,0
20202162,4/7/20 16:38,1,0
20202160,4/7/20 15:12,1,0
20202163,4/7/20 14:19,0,0
20202158,4/7/20 11:18,0,0
20202156,4/7/20 3:52,0,0
20202159,4/7/20 1:32,1,0
20202161,4/7/20 0:01,0,0
20202155,4/6/20 23:10,0,0
20202154,4/6/20 22:15,1,0
20202153,4/6/20 19:44,1,0
20202165,4/6/20 19:00,0,0
20202150,4/6/20 16:20,2,0
20019340,4/6/20 16:03,0,0
20202149,4/6/20 15:41,1,0
20202147,4/6/20 15:00,1,0
20202146,4/6/20 13:20,1,0
20202145,4/6/20 12:20,0,0
20202143,4/6/20 11:05,1,0
20202144,4/6/20 11:05,0,0
20202141,4/6/20 9:00,0,0
20202152,4/6/20 4:06,0,0
20202151,4/6/20 0:00,0,0
20202142,4/6/20 0:00,0,0
20202140,4/5/20 17:30,0,0
20202157,4/5/20 12:15,1,0
20202138,4/5/20 12:00,0,0
20202136,4/5/20 10:58,0,0
20202135,4/5/20 10:26,1,0
20202134,4/5/20 9:00,0,0
20019112,4/5/20 6:56,0,0
20202133,4/5/20 5:30,0,0
20202197,4/5/20 0:01,0,0
20202139,4/5/20 0:00,0,0
20202132,4/4/20 20:14,1,0
20202131,4/4/20 17:55,0,0
20019041,4/4/20 17:31,0,0
20202130,4/4/20 15:43,1,0
