id,street_name,limits,northbound_count,southbound_count,eastbound_count,westbound_count,total_count,file_no,date_count
PARADISEVALLEYRD060819,PARADISE VALLEY RD,CITY LIMIT  - MUNDA RD,,,8666,8681,17347,0608-19,1/21/20 0:00
65AV060919,65 AV,WUNDERLIN AV - BROADWAY ,1188,1041,,,2229,0609-19,1/22/20 0:00
DELMARMESARD062419,DEL MAR MESA RD,CARMEL COUNTRY RD - AQUITAINE CT,,,1201,1113,2314,0624-19,1/22/20 0:00
FEDERALBL061019,FEDERAL BL,MALLARD ST - MACARTHUR DR,,,5577,5681,11258,0610-19,1/22/20 0:00
IMPERIALAV061819,IMPERIAL AV,65 ST - 66 ST,,,6898,7084,13982,0618-19,1/22/20 0:00
IMPERIALAV061119,IMPERIAL AV,EUCLID AV - SAN JACINTO DR,,,8529,9176,17705,0611-19,1/22/20 0:00
IMPERIALAV061719,IMPERIAL AV,RAINBOW ST - FLICKER ST,4400,4445,,,8845,0617-19,1/22/20 0:00
MEADOWBROOKDR062219,MEADOWBROOK DR,PARADISE VALLEY RD - ROYAL OAK DR,5675,6263,,,11938,0622-19,1/22/20 0:00
PARADISEVALLEYRD062119,PARADISE VALLEY RD,JESTER ST - GILMARTIN DR,,,9813,9974,19787,0621-19,1/22/20 0:00
SKYLINEDR061919,SKYLINE DR,MEADOWBROOK DR - GREENLAND DR,,,2458,2192,4650,0619-19,1/22/20 0:00
WOODMANST062019,WOODMAN ST,SD 054  - ALTA VIEW DR,12454,13418,,,25872,0620-19,1/22/20 0:00
DELCERROBL062319,DEL CERRO BL,THETA PL - CAPRI DR,,,2997,1976,4973,0623-19,1/23/20 0:00
MAINST061419,MAIN ST,RIGEL ST - SIVA ST,,,8285,8818,17103,0614-19,1/23/20 0:00
MARKETST59819,MARKET ST,PITTA ST - RADIO DR,,,5144,4514,9658,598-19,1/23/20 0:00
MUNDARD061519,MUNDA RD,PARADISE VALLEY RD - RIDGEWOOD DR,2407,2222,,,4629,0615-19,1/23/20 0:00
OLIVEAV061619,OLIVE AV,PLUMAS ST - REO DR,2427,2187,,,4614,0616-19,1/23/20 0:00
VESTAST061319,VESTA ST,ACACIA ST - BIRCH ST,2393,1845,,,4238,0613-19,1/23/20 0:00
VESTAST061219,VESTA ST,DALBERGIA ST - MAIN ST,2634,2772,,,5406,0612-19,1/23/20 0:00
DELMARMESARD062519,DEL MAR MESA RD,AQUITAINE CT - ANGOULEME CT,,,1082,969,2051,0625-19,1/28/20 0:00
DELSURBL062619,DEL SUR BL,ROSA LINDA ST - ARRUZA ST,1555,1358,,,2913,0626-19,1/28/20 0:00
DELSURBL062719,DEL SUR BL,SHOOTING STAR DR - CAITHNESS DR,904,852,,,1756,0627-19,1/28/20 0:00
DELTAST062819,DELTA ST,39 ST - 40 ST,,,1003,888,1891,0628-19,1/28/20 0:00
DENNERYRD063019,DENNERY RD,PALM AV - DEL SOL BL,6828,6147,,,12975,0630-19,1/28/20 0:00
DENNERYRD062919,DENNERY RD,REGATTA LN - PALM AV,6047,6240,,,12287,0629-19,1/28/20 0:00
DOLVIADR063219,DOLVIA DR,VERGARA ST - TRIANA ST,1336,1727,,,3063,0632-19,1/28/20 0:00
DUNAWAYDR063319,DUNAWAY DR,GLENWICK LN - TORREY PINES RD,1329,1200,,,2529,0633-19,1/28/20 0:00
DISTRIBUTIONAV063119,DISTRIBUTION AV,MIRAMAR RD - CARROLL RD,1527,1679,,,3206,0631-19,1/29/20 0:00
CAMIONESWY44519,CAMIONES  WY,CAMINO DE LA PLAZA  - SOUTH END  ,,,,,0,445-19,
